day,h1_diff,day_diff,day_high,day_low,
2020/6/12,583757,24,37,1719,1682,
2020/6/15,326767,16,42,1717,1675,
2020/6/16,406186,14,21,1723,1702,
2020/6/17,243376,11,20,1713,1693,
2020/6/18,146562,10,24,1718,1694,
2020/6/19,555229,22,27,1749,1722,
2020/6/22,350070,15,17,1744,1727,
2020/6/23,418970,16,28,1772,1744,
2020/6/24,213570,13,16,1769,1753,
2020/6/29,518180,22,36,1754,1718,
2020/6/30,306765,18,24,1768,1744,
2020/7/1,184049,10,24,1762,1738,
2020/7/2,195348,10,44,1798,1754,
2020/7/3,256028,15,19,1811,1792,
2020/7/6,289694,13,35,1826,1791,
2020/7/7,360618,21,46,1816,1770,
2020/7/8,271581,17,20,1810,1790,
2020/7/9,239796,16,26,1814,1788,
2020/7/10,236967,12,26,1789,1763,
2020/7/13,310191,18,36,1820,1784,
2020/7/14,408865,16,28,1819,1791,
2020/7/15,318736,20,31,1860,1829,
2020/7/16,219553,11,26,1847,1821,
2020/7/17,285570,15,33,1816,1783,
2020/7/20,444119,24,26,1789,1763,
2020/7/21,292294,11,19,1781,1762,
2020/7/22,343580,18,18,1777,1759,
2020/7/23,341328,22,28,1779,1751,
2020/7/24,347053,16,56,1771,1715,
2020/7/27,246534,11,15,1745,1730,
2020/7/28,195467,9,29,1755,1726,
2020/7/29,273933,19,36,1765,1729,
2020/7/30,217092,11,16,1758,1742,
2020/7/31,194029,14,19,1735,1716,
2020/8/3,264820,23,34,1715,1681,
2020/8/4,145374,14,18,1710,1692,
2020/8/5,117244,9,36,1707,1671,
2020/8/6,148155,13,20,1698,1678,
2020/8/7,222835,20,25,1710,1685,
2020/8/10,410182,26,27,1742,1715,
2020/8/11,108878,12,13,1734,1721,
2020/8/12,303500,34,48,1758,1710,
2020/8/13,79088,13,21,1760,1739,
2020/8/14,78820,12,26,1758,1732,
2020/8/17,147153,24,24,1750,1726,
2020/8/18,217472,19,27,1933,1906,
2020/8/19,112713,11,14,1932,1918,
2020/8/20,334613,24,24,1922,1898,
2020/8/21,214714,13,19,1928,1909,
2020/8/24,313817,21,21,1948,1927,
2020/8/25,172209,12,15,1953,1938,
2020/8/26,104553,9,26,1967,1941,
